"puyopuyo4           ","Puyo Puyo Party"
"quake               ","Quake 64"
"quake ii            ","Quake 2"
"quarterback_club_98 ","Quarterback Club '98"
"quest 64            ","Quest 64"
"racing simulation 2 ","Racing Simulation 2 (Monaco GP Racing 2)"
"rainbow six         ","Rainbow Six"
"rakuga kids         ","Rakuga Kids"
"rakugakids          ","Rakuga Kids"
"rally'99            ","Rally '99"
"rampage2            ","Rampage 2 - Universal Tour"
"rampage             ","Rampage World Tour"
"rampage - kustom    ","Rampage World Tour"
"arpmga e            ","Rampage World Tour"
"rat attack          ","Rat Attack"
"rayman 2            ","Rayman 2 - The Great Escape"
"ready 2 rumble      ","Ready 2 Rumble Boxing"
"resident evil ii    ","Resident Evil 2"
"re-volt             ","RC Re-Volt"
"ridge racer 64      ","Ridge Racer 64"
"road rash 64        ","Road Rash 64"
"roadsters trophy    ","Roadsters Trophy"
"robopon64           ","Robot Ponkottsu 64"
"robotron-64         ","Robotron 64"
"robotron 64         ","Robotron 64"
"rocketrobotonwheels ","Rocket - Robot on Wheels"
"rtl wls2000         ","RTL WL Soccer 2000"
"rugratstreasurehunt ","Rugrats - Treasure Hunt"
"rugratsscavengerhunt","Rugrats - Scavenger Hunt"
"s.f. rush           ","San Francisco Rush"
"s.f.rush            ","San Francisco Rush"
"san francisco rush  ","San Francisco Rush"
"rush 2              ","San Francisco Rush 2"
"scars               ","S.C.A.R.S"
"sd hiryu stadium    ","SD Hiryu Stadium"
"shadowman           ","Shadow Man"
"shadowgate64        ","Shadowgate 64"
"sim city 2000       ","Sim City 2000"
"snow speeder        ","Snow Speeder"
"snowboard kids      ","Snowboard Kids"
"snobow kids         ","Snowboard Kids"
"snobow kids 2       ","Snowboard Kids 2"
"snowboard kids2     ","Snowboard Kids 2"
"sonic wings assault ","Sonic Wings Assault"
"south park          ","South Park"
"south park: chef's l","South Park - Chef's Luv Shack"
"south park chef's lu","South Park - Chef's Luv Shack"
"south park rally    ","South Park Rally"
"space invaders      ","Space Invaders"
"space dynamites     ","Space Dynamites"
"space rotator       ","Space Rotator"
"silicon valley      ","Space Station Silicon Valley"
